TU_ID	start	stop	tss	strand	rho_dependent	sigma
TU0_13350_from_RpoD_mono	1700257	1701258	None	+	True	RpoD_mono
TU0_12877_from_RpoD_mono	303077	303406	None	-	True	RpoD_mono
TU0_7622_from_RpoD_mono	542485	545635	545635	-	True	RpoD_mono
TU00158_from_RpoD_mono	1165215	1166612	1165215	+	True	RpoD_mono
TU0_8340_from_EG11355_MONOMER	2010724	2011117	2011117	-	True	FliA_mono
TU0_8834_from_RpoD_mono	1425770	1426750	None	-	True	RpoD_mono
TU0_8688_from_RpoD_mono	1226294	1226695	None	-	True	RpoD_mono
TU0_1002_from_RpoD_mono	1823979	1830037	1830037	-	True	RpoD_mono
TU0_4702_with_TERM0223_from_RpoD_mono	360364	365589	365589	-	False	RpoD_mono
TU0_4702_with_TERM0222_from_RpoD_mono	360436	365589	365589	-	False	RpoD_mono
TU0_6513_from_RpoD_mono	2080752	2082207	2080752	+	True	RpoD_mono
TU782_from_RPON_MONOMER	4199286	4199735	4199735	-	True	RpoN_mono
TU0_3421_from_RPOE_MONOMER	2493600	2494587	2493600	+	True	RpoE_mono
TU0_13236_from_RpoD_mono	1426838	1431010	None	+	True	RpoD_mono
TU0_8597_from_RpoD_mono	3861922	3862638	None	+	True	RpoD_mono
TU0_14474_from_RPOH_MONOMER	4479005	4482296	4482296	-	True	RpoH_mono
TU0_12820_from_RpoD_mono	164721	167264	164721	+	True	RpoD_mono
TU0_14822_from_RpoD_mono	1753641	1755134	1753641	+	True	RpoD_mono
TU0_14253_with_TERM0_1039_from_RpoD_mono	25014	27279	25014	+	False	RpoD_mono
TU0_8529_from_RpoD_mono	440773	442221	None	+	True	RpoD_mono
TU00242_from_RpoD_mono	2836276	2837309	2837309	-	True	RpoD_mono
TU0_5001_from_RPON_MONOMER	3864492	3865004	3865004	-	True	RpoN_mono
TU0_14682_with_TERM0_1074_from_RPOS_MONOMER	4374532	4374754	4374532	+	False	RpoS_mono
TU423_with_TERM141_from_RpoD_mono	882872	884161	882872	+	False	RpoD_mono
TU0_13162_from_RpoD_mono	1215971	1216219	None	+	True	RpoD_mono
TU0_14574_with_TERM0_1066_from_RpoD_mono	3320057	3320612	3320612	-	False	RpoD_mono
TU0_13598_from_RpoD_mono	2461034	2462092	None	+	True	RpoD_mono
TU0_8671_from_RpoD_mono	886646	887182	None	+	True	RpoD_mono
TU0_14387_from_RpoD_mono	3396409	3399378	3399378	-	True	RpoD_mono
TU00175_from_RPOS_MONOMER	962972	963335	962972	+	True	RpoS_mono
TU0_14121_from_RpoD_mono	4267437	4268150	None	+	True	RpoD_mono
TU00497_from_RpoD_mono	2042565	2042648	2042565	+	True	RpoD_mono
TU0_13075_from_RpoD_mono	906075	910272	None	-	True	RpoD_mono
TU0_13767_from_RpoD_mono	2993336	2995667	None	-	True	RpoD_mono
TU0_14495_from_RpoD_mono	111649	111846	None	-	True	RpoD_mono
TU0_8464_from_RpoD_mono	4178583	4178948	None	+	True	RpoD_mono
TU00088_from_RpoD_mono	1987669	1988916	1987669	+	True	RpoD_mono
TU0_7662_from_RpoD_mono	3579134	3579649	3579134	+	True	RpoD_mono
TU0_13006_from_RpoD_mono	660860	661501	None	-	True	RpoD_mono
TU0_13842_from_RpoD_mono	3183436	3183987	None	+	True	RpoD_mono
TU0_14321_from_RpoD_mono	2685491	2686825	None	-	True	RpoD_mono
TU00428_from_RpoD_mono	2403725	2404678	2404678	-	True	RpoD_mono
TU0_4703_with_TERM0223_from_RpoD_mono	360364	365601	365601	-	False	RpoD_mono
TU0_4703_with_TERM0222_from_RpoD_mono	360436	365601	365601	-	False	RpoD_mono
TU0_8341_from_RPON_MONOMER	3556290	3557888	None	+	True	RpoN_mono
TU0_3422_from_RPOE_MONOMER	492933	494234	492933	+	True	RpoE_mono
TU0_13945_from_RpoD_mono	3607978	3608535	None	+	True	RpoD_mono
TU0_14194_from_RpoD_mono	4530460	4531206	None	-	True	RpoD_mono
TU354_with_ARCAT1_from_RpoD_mono	4637562	4638704	4638704	-	False	RpoD_mono
TU0_13146_from_RpoD_mono	1195937	1196009	None	+	True	RpoD_mono
TU0_14051_from_RpoD_mono	4015356	4016783	None	+	True	RpoD_mono
TU00292_from_RpoD_mono	720279	723637	None	-	True	RpoD_mono
TU0_12942_from_RpoD_mono	478591	479142	None	-	True	RpoD_mono
TU00022_from_RpoD_mono	1396798	1397576	1397576	-	True	RpoD_mono
TU0_6514_from_RpoD_mono	4622879	4625317	4622879	+	True	RpoD_mono
TU0_14136_from_RpoD_mono	4342952	4343581	None	-	True	RpoD_mono
TU0_13538_from_RpoD_mono	2232011	2234522	2232011	+	True	RpoD_mono
TU0_13300_from_RpoD_mono	1605370	1606128	None	+	True	RpoD_mono
TU00159_with_TERM64_from_RpoD_mono	4343654	4345371	4345371	-	False	RpoD_mono
TU0_8757_from_RpoD_mono	3203346	3204402	3204402	-	True	RpoD_mono
TU0_13782_from_RpoD_mono	3018562	3022208	None	+	True	RpoD_mono
TU0_5003_from_RpoD_mono	4368639	4370694	4368639	+	True	RpoD_mono
TU0_5003_from_RPOH_MONOMER	4368639	4370694	4368639	+	True	RpoH_mono
TU0_13408_from_RpoD_mono	1878145	1878783	None	-	True	RpoD_mono
TU0_12808_from_RpoD_mono	88028	89032	None	+	True	RpoD_mono
TU0_13480_from_RpoD_mono	2066976	2068249	None	-	True	RpoD_mono
TU00368_from_RpoD_mono	3204446	3207509	3204446	+	True	RpoD_mono
TU0_1501_from_EG11355_MONOMER	1644412	1644761	1644412	+	True	FliA_mono
TU0_8689_from_RpoD_mono	1257961	1258292	1257961	+	True	RpoD_mono
TU0_13996_from_RpoD_mono	3782214	3782465	None	-	True	RpoD_mono
TU0_8598_from_RpoD_mono	3866085	3867332	None	-	True	RpoD_mono
TU0_8835_from_RpoD_mono	2287087	2288103	None	-	True	RpoD_mono
TU0_13647_from_RpoD_mono	2627312	2627503	None	+	True	RpoD_mono
TU0_1003_from_RPON_MONOMER	1823979	1830068	1830068	-	True	RpoN_mono
TU0_13884_from_RpoD_mono	3328604	3330757	None	-	True	RpoD_mono
TU783_from_RPON_MONOMER	4199928	4202668	4199928	+	True	RpoN_mono
TU0_13351_from_RpoD_mono	1702536	1702700	1702536	+	True	RpoD_mono
TU0_12878_from_RpoD_mono	303719	309343	309343	-	True	RpoD_mono
TU0_14683_with_TERM89_from_RpoD_mono	4636183	4637595	4636183	+	False	RpoD_mono
TU0_13237_from_RpoD_mono	1431108	1431698	None	-	True	RpoD_mono
TU0_14475_from_RPOH_MONOMER	4633266	4636143	4633266	+	True	RpoH_mono
TU424_from_RPON_MONOMER	2833195	2836154	2836154	-	True	RpoN_mono
TU0_4742_from_RpoD_mono	1018236	1019410	1019410	-	True	RpoD_mono
TU0_13163_from_RpoD_mono	1216551	1218074	None	+	True	RpoD_mono
TU0_12821_from_RpoD_mono	175107	176528	None	+	True	RpoD_mono
TU0_3423_from_RPOE_MONOMER	2751508	2751968	2751508	+	True	RpoE_mono
TU0_8672_from_RpoD_mono	889312	889689	None	+	True	RpoD_mono
TU0_7681_from_RpoD_mono	1632334	1634627	1634627	-	True	RpoD_mono
TU00176_from_RPOS_MONOMER	847631	848173	848173	-	True	RpoS_mono
TU00176_from_RpoD_mono	847631	848173	848173	-	True	RpoD_mono
TU00498_from_RpoD_mono	2057869	2057950	2057869	+	True	RpoD_mono
TU0_8530_from_RpoD_mono	1055484	1056512	None	+	True	RpoD_mono
TU0_13076_from_RpoD_mono	913181	914080	None	-	True	RpoD_mono
TU00243_with_TERM70_from_RpoD_mono	3913531	3920548	3920548	-	False	RpoD_mono
TU0_8343_from_RpoD_mono	3058872	3064302	None	+	True	RpoD_mono
TU00089_from_RpoD_mono	2685092	2685525	2685525	-	True	RpoD_mono
TU0_5021_from_RpoD_mono	3239849	3242879	3242879	-	True	RpoD_mono
TU0_14388_with_TERM0_1036_from_RpoD_mono	3398027	3399151	3399151	-	False	RpoD_mono
TU0_6515_from_RpoD_mono	2714760	2715465	2714760	+	True	RpoD_mono
TU0_14122_from_RpoD_mono	4268237	4269037	4268237	+	True	RpoD_mono
TU0_14254_with_AROH_TERMINATOR_from_RpoD_mono	1786408	1787534	1786408	+	False	RpoD_mono
TU0_13768_from_RpoD_mono	2995711	2996010	None	-	True	RpoD_mono
TU0_14496_from_RpoD_mono	1713050	1713913	None	-	True	RpoD_mono
TU355_from_RpoD_mono	1074143	1078148	1078148	-	True	RpoD_mono
TU0_13147_from_RpoD_mono	1196090	1197460	None	-	True	RpoD_mono
TU0_8469_from_RPOS_MONOMER	2175534	2176689	2176689	-	True	RpoS_mono
TU0_13466_from_RpoD_mono	2033804	2034710	2033804	+	True	RpoD_mono
TU0_14576_from_RpoD_mono	656370	656724	656370	+	True	RpoD_mono
TU0_13599_from_RpoD_mono	2463323	2464255	None	+	True	RpoD_mono
TU0_1521_from_EG11355_MONOMER	2000134	2001700	2001700	-	True	FliA_mono
TU0_13007_from_RpoD_mono	661602	661865	None	-	True	RpoD_mono
TU00160_with_TERM66_from_RpoD_mono	4364867	4366455	4366455	-	False	RpoD_mono
TU00429_from_RpoD_mono	4351223	4352820	4352820	-	True	RpoD_mono
TU0_14052_from_RpoD_mono	4019968	4022359	None	+	True	RpoD_mono
TU00293_from_RpoD_mono	3806539	3808327	3806539	+	True	RpoD_mono
TU00023_with_TERM69_from_RpoD_mono	4376989	4380435	4380435	-	False	RpoD_mono
TU0_8690_from_RpoD_mono	1272469	1272822	None	-	True	RpoD_mono
TU0_4761_from_RpoD_mono	2922178	2922546	2922546	-	True	RpoD_mono
TU0_14137_from_RpoD_mono	4349866	4350380	None	+	True	RpoD_mono
TU0_3424_from_RPOE_MONOMER	4384070	4388661	4388661	-	True	RpoE_mono
TU0_8758_from_RpoD_mono	3169901	3170233	None	-	True	RpoD_mono
TU0_13783_from_RpoD_mono	3022373	3026510	None	+	True	RpoD_mono
TU0_13843_from_RpoD_mono	3184164	3189718	None	+	True	RpoD_mono
TU0_14322_from_RpoD_mono	4481860	4482303	None	-	True	RpoD_mono
TU0_8599_from_RpoD_mono	3867400	3868464	None	+	True	RpoD_mono
TU0_12943_from_RpoD_mono	479314	480018	480018	-	True	RpoD_mono
TU0_13409_from_RpoD_mono	1878910	1879833	None	-	True	RpoD_mono
TU0_12809_with_TERM0_1064_from_RpoD_mono	106508	107544	106508	+	False	RpoD_mono
TU0_14195_from_RpoD_mono	4531262	4532076	None	-	True	RpoD_mono
TU0_13946_from_RpoD_mono	3609888	3610937	None	+	True	RpoD_mono
TU0_13481_from_RpoD_mono	2068268	2068528	None	+	True	RpoD_mono
TU00369_from_RpoD_mono	4250466	4251911	4250466	+	True	RpoD_mono
TU0_7701_from_RpoD_mono	4602898	4603717	4603717	-	True	RpoD_mono
TU0_14687_from_RpoD_mono	1724045	1725780	1724045	+	True	RpoD_mono
TU0_5041_from_RpoD_mono	4552481	4553372	4552481	+	True	RpoD_mono
TU0_13539_from_RpoD_mono	2239832	2241870	2241870	-	True	RpoD_mono
TU0_13301_from_RpoD_mono	1606132	1607046	None	-	True	RpoD_mono
TU0_8836_from_RpoD_mono	3128200	3129216	None	+	True	RpoD_mono
TU0_8344_from_RPON_MONOMER	2848649	2854438	2848649	+	True	RpoN_mono
